aligner,read_length,mapq,step,count
graph_19_5,30,15,post_surject,62482
graph_19_5,30,20,post_surject,57265
graph_19_5,30,25,post_surject,50126
graph_19_5,30,30,post_surject,42039
graph_19_5,30,35,post_surject,36409
graph_19_5,30,40,post_surject,34872
graph_19_5,30,45,post_surject,27614
graph_19_5,30,50,post_surject,18613
graph_19_5,30,55,post_surject,5698
graph_19_5,30,60,post_surject,105
bwa_aln,30,0,post_surject,88660
bwa_aln,30,20,post_surject,64656
bwa_aln,30,30,post_surject,56686
graph_15_5,40,0,post_surject,92575
graph_15_5,40,5,post_surject,79583
graph_15_5,40,10,post_surject,78246
graph_15_5,40,15,post_surject,77320
graph_15_5,40,20,post_surject,72725
graph_15_5,40,25,post_surject,68010
graph_15_5,40,30,post_surject,63426
graph_15_5,40,35,post_surject,57715
graph_15_5,40,40,post_surject,54307
graph_15_5,40,45,post_surject,50987
graph_15_5,40,50,post_surject,47526
graph_15_5,40,55,post_surject,44019
graph_15_5,40,60,post_surject,40317
graph_19_5,40,0,post_surject,91949
graph_19_5,40,5,post_surject,78863
graph_19_5,40,10,post_surject,77687
graph_19_5,40,15,post_surject,76553
graph_19_5,40,20,post_surject,71344
graph_19_5,40,25,post_surject,65665
graph_19_5,40,30,post_surject,58616
graph_19_5,40,35,post_surject,49978
graph_19_5,40,40,post_surject,47424
graph_19_5,40,45,post_surject,43932
graph_19_5,40,50,post_surject,39975
graph_19_5,40,55,post_surject,32803
graph_19_5,40,60,post_surject,25080
bwa_aln,40,0,post_surject,85980
bwa_aln,40,20,post_surject,64535
bwa_aln,40,30,post_surject,56449
graph_15_5,50,0,post_surject,94538
graph_15_5,50,5,post_surject,85160
graph_15_5,50,10,post_surject,84463
graph_15_5,50,15,post_surject,83949
graph_15_5,50,20,post_surject,80580
graph_15_5,50,25,post_surject,77233
graph_15_5,50,30,post_surject,75346
graph_15_5,50,35,post_surject,73362
graph_15_5,50,40,post_surject,71752
graph_15_5,50,45,post_surject,70028
graph_15_5,50,50,post_surject,67714
graph_15_5,50,55,post_surject,65820
graph_15_5,50,60,post_surject,63673
graph_19_5,50,0,post_surject,94962
graph_19_5,50,5,post_surject,85023
graph_19_5,50,10,post_surject,84270
graph_19_5,50,15,post_surject,83604
graph_19_5,50,20,post_surject,79907
graph_19_5,50,25,post_surject,76183
graph_19_5,50,30,post_surject,73333
graph_19_5,50,35,post_surject,69623
graph_19_5,50,40,post_surject,67608
graph_19_5,50,45,post_surject,65336
graph_19_5,50,50,post_surject,62632
graph_19_5,50,55,post_surject,59785
graph_19_5,50,60,post_surject,56799
bwa_aln,50,0,post_surject,88865
bwa_aln,50,20,post_surject,71389
bwa_aln,50,30,post_surject,65969
graph_15_5,60,0,post_surject,95590
graph_15_5,60,5,post_surject,88378
graph_15_5,60,10,post_surject,87883
graph_15_5,60,15,post_surject,87504
graph_15_5,60,20,post_surject,84707
graph_15_5,60,25,post_surject,81810
graph_15_5,60,30,post_surject,80533
graph_15_5,60,35,post_surject,79350
graph_15_5,60,40,post_surject,78367
graph_15_5,60,45,post_surject,77081
graph_15_5,60,50,post_surject,75423
graph_15_5,60,55,post_surject,74210
graph_15_5,60,60,post_surject,72927
graph_19_5,60,0,post_surject,96246
graph_19_5,60,5,post_surject,88640
graph_19_5,60,10,post_surject,88160
graph_19_5,60,15,post_surject,87754
graph_19_5,60,20,post_surject,85024
graph_19_5,60,25,post_surject,82071
graph_19_5,60,30,post_surject,80633
graph_19_5,60,35,post_surject,79037
graph_19_5,60,40,post_surject,77829
graph_19_5,60,45,post_surject,76284
graph_19_5,60,50,post_surject,74148
graph_19_5,60,55,post_surject,72548
graph_19_5,60,60,post_surject,70837
bwa_aln,60,0,post_surject,87903
bwa_aln,60,20,post_surject,74230
bwa_aln,60,30,post_surject,68880
graph_15_5,70,0,post_surject,96440
graph_15_5,70,5,post_surject,90918
graph_15_5,70,10,post_surject,90525
graph_15_5,70,15,post_surject,90246
graph_15_5,70,20,post_surject,87903
graph_15_5,70,25,post_surject,85356
graph_15_5,70,30,post_surject,84145
graph_15_5,70,35,post_surject,83165
graph_15_5,70,40,post_surject,82358
graph_15_5,70,45,post_surject,81359
graph_15_5,70,50,post_surject,80033
graph_15_5,70,55,post_surject,79199
graph_15_5,70,60,post_surject,78375
graph_19_5,70,0,post_surject,97010
